legacy_alias,current_portion,candidate_rank,cnf_food_id,score,cnf_fr,cnf_en,kcal_100g,protein_100g,carbs_100g,fat_100g
orge,1 tasse cuite,2,4872,0.733,"Grains céréaliers, farine ou semoule d'orge","Grains, barley flour",345,10.5,74.52,1.6
orge,1 tasse cuite,3,4411,0.65,"Grains céréaliers, orge, perlé, sec","Grains, barley, pearled, dry",352,9.91,77.72,1.16
orge,1 tasse cuite,4,4486,0.65,"Grains céréaliers, orge, perlé, cuit","Grains, barley, pearled, cooked",123,2.26,28.22,0.44
orge,1 tasse cuite,5,4529,0.65,"Grains céréaliers, orge, malt, déshydraté","Grains, barley, malt, dry",368,13.1,77.4,1.9
gruau,1 tasse cuite,1,456,0.733,"Huile végétale, avoine","Vegetable oil, oat",885,0,0,100
gruau,1 tasse cuite,2,3831,0.733,"Biscuit, avoine, commercial","Cookie, oatmeal, commercial",472.238557872,5.828544543,68.763725903,19.318830676
gruau,1 tasse cuite,3,3677,0.65,"Bagel, son d'avoine","Bagel, oat bran",255,10.7,53.3,1.2
gruau,1 tasse cuite,4,4421,0.65,"Grains céréaliers, avoine, sec","Grains, oats, dry",389,16.89,66.27,6.9
gruau,1 tasse cuite,5,7689,0.65,"Biscuit, avoine, teneur réduite en gras","Cookie, oatmeal, reduced fat",365,4.02,64.62,10.04
granola,1/2 tasse,1,6596,1.05,"Barre granola, croquante, nature","Granola bar, crunchy, plain",480,9.013,64.3897,21.507
granola,1/2 tasse,2,6601,1,"Barre granola, tendre, grains de chocolat","Granola bar, chewy, chocolate chip",397,5.2917,72.1539,13.396
granola,1/2 tasse,3,6603,1,"Barre granola, tendre, faible en gras","Granola bar, chewy, low fat",371,6.37,74.66,8.67
granola,1/2 tasse,4,6604,0.967,"Barre granola, tendre, salée et sucrée","Granola bar, chewy, sweet and salty",427,9.7433,64.6471,18.643
granola,1/2 tasse,5,6595,0.943,"Barre granola/céréales, farcie aux fruits, toutes saveurs","Granola bar, cereal bar, fruit-filled, all flavours",386,3.209,63.931,14.127
céréales,1 tasse,1,6356,0.943,"Céréales, prêtes à manger, flocons d'amarante","Cereal, ready-to-eat, amaranth flakes",353,15.54,71.15,7
céréales,1 tasse,2,6997,0.65,"Yogourt, garniture granola/céréales","Yogourt (yogurt), with crunchy granola/cereal topping",121,5.03,19.12,2.91
céréales,1 tasse,3,2883,0.567,"Café, succédané, boisson de céréales, poudre","Coffee substitute, cereal grain beverage, powder",361,6.01,78.42,2.52
céréales,1 tasse,4,6326,0.567,Barre aux céréales et au lait,"Bar, milk and cereal",413,6.47,72.05,10.98
céréales,1 tasse,5,150,0.543,"Crème à céréales (moitié-moitié), 10% M.G.","Cream, cereal (half and half), 10% M.F.",131,3.13,4.3,11.5
corn flakes,1 tasse,1,6923,0.686,"Céréale, prête-à-manger, Flocons de mais, Sélection merite","Cereal, ready to eat, Corn Flakes, Selection",398,7.07,87.11,1.29
corn flakes,1 tasse,2,1242,0.65,"Céréale, prête-à-manger, flocons de maïs, Kellogg's","Cereal, ready to eat, Corn Flakes, Kellogg's",392,6.63,87.18,0.76
corn flakes,1 tasse,3,6915,0.65,"Céréale, prête-à-manger, Flocons de mais: givré, Compliments","Cereal, ready to eat, Corn Flakes: Frosted, Compliments",387,5.01,87.94,2.18
corn flakes,1 tasse,4,1300,0.622,"Céréale, prête-à-manger, flocons de maïs, Barbara's Bakery","Cereal, ready to eat, corn flakes, Barbara's Bakery",401,8.1,88,0.8
corn flakes,1 tasse,5,1301,0.622,"Céréale, prête-à-manger, flocons de maïs, Choix du Président","Cereal, ready to eat, Corn Flakes, President's Choice",398,7.67,86.67,1.33
cheerios,1 tasse,1,1475,0.543,"Céréale, prête-à-manger, Cheerios, General Mills","Cereal, ready to eat, Cheerios, General Mills",397,12.88,72.73,6.35
cheerios,1 tasse,2,1295,0.525,"Céréale, prête-à-manger, cheerios: multigrains, General Mills","Cereal, ready to eat, Cheerios: multigrain, General Mills",398,8.51,81.01,4.18
cheerios,1 tasse,3,1256,0.511,"Céréale, prête-à-manger, cheerios, miel et noix, General Mills","Cereal, ready to eat, Cheerios: honey nut, General Mills",389,8.08,81.92,3.99
cheerios,1 tasse,4,1293,0.511,"Céréale, prête-à-manger, cheerios: pommes cannelle, General Mills","Cereal, ready to eat, Cheerios: Apple Cinnamon, General Mills",409,7.06,82.73,5.23
cheerios,1 tasse,5,6905,0.5,"Céréale, prête-à-manger, Cheerios: Pépites d'avoine croquantes, General Mills","Cereal, ready to eat, Cheerios: Oat Clusters Crunch, General Mills",387,7.79,82.39,3.57
pâtes blanches,1 tasse cuite,1,14,0.25,"Vinaigre, distillé (blanc)","Vinegar, distilled (white)",18,0,0.04,0
pâtes blanches,1 tasse cuite,2,200,0.25,"Épices, poivre, blanc","spices, pepper, white",296,10.4,68.61,2.12
pâtes blanches,1 tasse cuite,3,2399,0.25,"Champignon, blanc, cru","Mushroom, white, raw",22,3.09,3.28,0.34
pâtes blanches,1 tasse cuite,4,3708,0.25,"Pain, pita, blanc","Bread, pita, white",301.015991808,10.498217587,59.703688161,1.695
pâtes blanches,1 tasse cuite,5,4066,0.25,"Pain, blanc, commercial","Bread, white, commercial",261,9.14,49.21,2.66
pâtes de blé entier,1 tasse cuite,1,7972,0.686,"Met surgelé, pâtes, lasagne, pâtes de blé entier avec légumes, sauce à base de tomates, réchauffé","Frozen entree, pasta, lasagna, whole-wheat pasta with vegetables, tomato-based sauce, heated",111.454883457,5.43490906,16.340239984,2.70603192
pâtes de blé entier,1 tasse cuite,2,3878,0.5,"Craquelin, blé entier","Cracker, whole wheat",427,10.58,69.55,14.13
pâtes de blé entier,1 tasse cuite,3,4516,0.5,"Pâtes, (spaghetti, macaroni), blé entier, sec","Pasta, (spaghetti, macaroni), whole wheat, dry",352,13.87,73.37,2.93
pâtes de blé entier,1 tasse cuite,4,4517,0.5,"Pâtes, (spaghetti macaroni), blé entier, cuit","Pasta, (spaghetti, macaroni), whole wheat, cooked",149,5.99,30.07,1.71
pâtes de blé entier,1 tasse cuite,5,7067,0.5,"Bagel, blé entier","Bagel, whole wheat",250,10.2,48.89,1.53
spaghetti,1 assiette,1,5868,1.05,"Spaghetti sans viande, conserve","Spaghetti, without meat, canned",71,2.22,13.94,0.71
spaghetti,1 assiette,2,6766,1.05,Spaghetti avec sauce à la crème,Spaghetti with cream sauce,154,5.196,24.019,3.937
spaghetti,1 assiette,3,6767,1.05,Spaghetti avec sauce à la viande,Spaghetti with meat sauce,162,8.242,19.642,5.699
spaghetti,1 assiette,4,7422,1,"Spaghetti et boulettes de viande, préparation restaurant","Spaghetti and meatballs, restaurant prepared",170,7.84,15.51,8.52
spaghetti,1 assiette,5,5867,0.943,"Spaghetti avec boulettes de viande dans une sauce aux tomates, conserve","Spaghetti, with meatballs in tomato sauce, canned",100,4.37,11.45,4.11
macaroni,1 tasse cuite,1,4919,1.05,"Macaroni au fromage, conserve","Macaroni and cheese, canned entree",82,3.38,11.52,2.46
macaroni,1 tasse cuite,2,4933,0.943,"Macaroni et boeuf, sauce aux tomates, congelé","Macaroni and beef in tomato sauce, frozen",91,6.07,13.23,1.54
macaroni,1 tasse cuite,3,7140,0.925,"Macaroni au fromage, mélange en boîte avec sauce au fromage, non préparé","Macaroni and cheese, box mix with cheese sauce, unprepared",334,12.73,46.66,10.67
macaroni,1 tasse cuite,4,7141,0.925,"Macaroni au fromage, mélange en boîte avec sauce au fromage, préparé","Macaroni and cheese, box mix with cheese sauce, prepared",164,6.68,23.1,4.99
macaroni,1 tasse cuite,5,4464,0.6,"Pâtes (macaroni, spaghetti), enrichi, cuit","Pasta (macaroni, spaghetti), enriched, cooked",158,5.8,30.86,0.93
lasagne,1 portion,1,6743,1.133,"Lasagne végétarienne, faite maison","Lasagna, vegetarian, homemade",139,7.312,17.902,4.352
lasagne,1 portion,2,6252,1.05,"Lasagne au fromage, congelée, préparée","Lasagna, cheese, frozen, prepared",130,6.54,13.84,5.33
lasagne,1 portion,3,7276,1.05,"Lasagne au fromage, congelée, non préparée","Lasagna, cheese, frozen, unprepared",145,5.06,21.61,4.22
lasagne,1 portion,4,6742,1,"Lasagne avec sauce à la viande, faite maison","Lasagna with meat sauce, homemade",157,9.491,16.132,6.089
lasagne,1 portion,5,7942,0.525,"Met surgelé, pâtes, lasagne, poulet, sauce crémeuse, réchauffé","Frozen entree, pasta, lasagna, chicken, creamy sauce, heated",143.413268489,7.448730244,18.968259627,4.193923223
nouilles ramen,1 paquet,1,5347,0.733,"Soupe, nouilles ramen, toutes saveurs, sèche","Soup, ramen noodles, any flavour, dry",440,10.17,60.26,17.59
nouilles ramen,1 paquet,2,5855,0.733,"Soupe, nouilles ramen, saveur de boeuf, sèche","Soup, ramen noodles, beef flavour, dry",441,10.06,60.34,17.73
nouilles ramen,1 paquet,3,5856,0.733,"Soupe, nouilles ramen, saveur de poulet, sèche","Soup, ramen noodles, chicken flavour, dry",439,10.22,60.23,17.52
nouilles ramen,1 paquet,4,4903,0.6,"Soupe, Nissin, Oodles of Noodles Top Ramen, nouilles ramen, saveur orientale, sèches","Soup, Nissin, Oodles of Noodles Top Ramen, ramen noodles, oriental flavour, dry",453,9.3,65.5,17.1
nouilles ramen,1 paquet,5,4904,0.6,"Soupe, Nissin, Cup Noodles, nouilles ramen, saveur de poulet, sèches","Soup, Nissin, Cup Noodles, ramen noodle, chicken flavour, dry",463,8.7,57.5,22
nouilles de riz,1 tasse,1,4874,1,"Pâtes, nouilles de riz, cuites","Pasta, rice noodles, cooked",108,1.79,24.01,0.2
nouilles de riz,1 tasse,2,4888,1,"Pâtes, nouilles de riz, sèches","Pasta, rice noodles, dry",364,5.95,80.18,0.56
nouilles de riz,1 tasse,3,3299,0.6,"Pâtes, nouilles de haricot mungo (nouilles chinoise, cellophane), déshydratées","Pasta, mung beans noodles (chinese, cellophane or long rice noodles), dehydrated",352,0.16,86.09,0.06
nouilles de riz,1 tasse,4,416,0.333,"Huile végétale, son de riz","Vegetable oil, rice bran",885,0,0,100
nouilles de riz,1 tasse,5,7246,0.333,"Grignotises, croustilles de riz brun","Snacks, brown rice chips",384,8.2,81.5,2.8
patate douce,1 moyenne,1,2240,1.467,"Patate douce, crue","Sweet potato, raw",86,1.57,20.12,0.05
patate douce,1 moyenne,2,6189,1.467,"Patate douce, farine","Sweet potato, flour",364,6.65,85.21,0.21
patate douce,1 moyenne,3,2238,1.3,"Patate douce, feuilles, crues","Sweet potato leaves, raw",42,2.49,8.82,0.51
patate douce,1 moyenne,4,2239,1.3,"Patate douce, feuilles, cuites à la vapeur","Sweet potato leaves, steamed",35,2.18,7.38,0.34
patate douce,1 moyenne,5,2244,1.3,"Patate douce, conserve, purée","Sweet potato, canned, mashed",101,1.98,23.19,0.2
pomme de terre,1 moyenne,1,2440,1.55,"Pomme de terre, farine",Potato flour,357,6.9,83.1,0.34
pomme de terre,1 moyenne,2,2417,1.4,"Pomme de terre, chair, crue","Potato, flesh, raw",77,2.02,17.47,0.09
pomme de terre,1 moyenne,3,2418,1.4,"Pomme de terre, pelure, crue","Potato, skin, raw",58,2.57,12.44,0.1
pomme de terre,1 moyenne,4,2168,1.3,"Pomme de terre, rissolée, faite maison","Potato, hashed-brown, homemade",265,3,35.11,12.52
pomme de terre,1 moyenne,5,2187,1.3,"Pomme de terre, salade, faite maison","Potato salad, homemade",143,2.68,11.17,8.2
purée de pommes de terre,1 tasse,1,7951,0.65,"Met surgelé, poulet frit avec pommes de terre en purée, réchauffé","Frozen entree, fried chicken with mashed potatoes, heated",133.146985717,7.544323498,15.077018753,4.740179635
purée de pommes de terre,1 tasse,2,9,0.622,"Pain de viande avec sauce aux tomates, pommes de terre en purée et pois","Meat loaf with tomato sauce, mashed potatoes and peas",131,8,9.8,6.7
purée de pommes de terre,1 tasse,3,7968,0.622,"Met surgelé, bifteck Salisbury, pommes de terre en purée et sauce, réchauffé","Frozen entree, Salisbury steak, mashed potatoes and gravy, heated",105.927722857,6.574216866,12.194863307,3.427933574
purée de pommes de terre,1 tasse,4,8,0.6,"Met surgelé, poulet frit avec pommes de terre en purée et légumes, réchauffé","Frozen entree, fried chicken with mashed potatoes and vegetables, heated",184.61865195,7.854376634,20.298021464,8.001006618
purée de pommes de terre,1 tasse,5,7969,0.6,"Met surgelé, bifteck Salisbury, pommes de terre en purée, légumes et sauce, réchauffé","Frozen entree, Salisbury steak, mashed potatoes, vegetables and gravy, heated",141.597124723,6.434373824,13.026255151,7.083845425
frites,1 moyenne,1,3108,0.567,"Mollusques, ormeau, espèces diverses, enfarinées, frites","Mollusks, abalone, mixed species, flour coated, fried",189,19.63,11.05,6.78
frites,1 moyenne,2,3126,0.567,"Mollusques, calmar, espèces diverses, enfarinées, frites","Mollusks, squid (calamari), mixed species, flour coated, fried",175,17.94,7.79,7.48
frites,1 moyenne,3,3643,0.567,"Gibier, viande, grenouille, cuisses, panées, frites","Game meat, frog legs, breaded and fried",252,17.4,18,11.7
frites,1 moyenne,4,6760,0.567,"Courgettes, en pâte à frire, frites","Zucchini, battered and fried",167,2.585,9.284,13.748
frites,1 moyenne,5,3104,0.543,"Crustacés, crevette, espèces, diverses, panées et frites","Crustaceans, shrimp, mixed species, breaded and fried",242,21.39,11.47,12.28
hachis brun,1 portion,1,4317,0.25,"Confiseries, sucre, brun (cassonade)","Sweets, sugars, brown",380,0.12,98.9,0
hachis brun,1 portion,2,2168,0.2,"Pomme de terre, rissolée, faite maison","Potato, hashed-brown, homemade",265,3,35.11,12.52
hachis brun,1 portion,3,3690,0.2,"Pain, Boston brown, conserve","Bread, Boston brown, canned",195,5.2,43.3,1.5
hachis brun,1 portion,4,4451,0.2,"Grains céréaliers, farine de riz brun","Grains, rice flour, brown",363,7.23,76.48,2.78
hachis brun,1 portion,5,5351,0.2,"Sauce, brune, instantanée, sèche","Gravy, brown instant, dry",380,8.53,59.78,11.85
oeufs,2 gros,1,3673,0.9,"Bagel, oeufs","Bagel, egg",278,10.6,53,2.1
oeufs,2 gros,2,3695,0.733,"Pain, oeufs (challa)","Bread, egg (challah)",287,9.5,47.8,6
oeufs,2 gros,3,3696,0.65,"Pain, oeufs, (challa), grillé","Bread, egg, (challah), toasted",315,10.5,52.6,6.6
oeufs,2 gros,4,3979,0.65,"Pain, petit pain, aux œufs","Roll, dinner, egg",307,9.5,52,6.4
oeufs,2 gros,5,3955,0.6,"Tarte, flan aux oeufs, commerciale","Pie, egg custard, commercial",210,5.5,20.8,11.6
oeuf,1 gros,1,6717,1.3,Oeuf à la bénédictine,Egg Benedict,185,10.92,9.749,11.282
oeuf,1 gros,2,6421,1.133,"Oeuf, succédané, poudre","Egg substitute, powder",444,55.5,21.8,13
oeuf,1 gros,3,83,1.05,"Oeuf, poule, déshydraté, entier","Egg, chicken, dried, whole",592,48.05,1.13,43.9
oeuf,1 gros,4,87,1.05,"Oeuf, poule, jaune, déshydraté","Egg, chicken, yolk, dried",669,33.63,0.66,59.13
oeuf,1 gros,5,4721,1.05,"Oeuf, poule, blanc, déshydraté","Egg, chicken, white, dried",382,81.1,7.8,0
blancs d oeufs,3 blancs,1,3673,0.333,"Bagel, oeufs","Bagel, egg",278,10.6,53,2.1
blancs d oeufs,3 blancs,2,6717,0.333,Oeuf à la bénédictine,Egg Benedict,185,10.92,9.749,11.282
blancs d oeufs,3 blancs,3,3695,0.25,"Pain, oeufs (challa)","Bread, egg (challah)",287,9.5,47.8,6
blancs d oeufs,3 blancs,4,3863,0.25,"Craquelin, matzo, oeuf","Cracker, matzo, egg",391,12.3,78.6,2.1
blancs d oeufs,3 blancs,5,3979,0.25,"Pain, petit pain, aux œufs","Roll, dinner, egg",307,9.5,52,6.4
poitrine de poulet,170 g,1,6319,1.2,"Poulet, tendres de poitrine, panés, cuits","Chicken breast tenders, breaded, cooked",252,16.35,17.56,12.89
poitrine de poulet,170 g,2,6320,1.2,"Poulet, tendres de poitrine, panés, non cuits","Chicken breast tenders, breaded, uncooked",263,14.73,15.01,15.75
poitrine de poulet,170 g,3,4931,1.133,"Poitrine de poulet farcie au brocoli et fromage, congelée","Chicken breast with broccoli and cheese stuffing, frozen",155,12.4,3.4,10.2
poitrine de poulet,170 g,4,7112,1.133,"Poulet, tendres de poitrine, panés, congelés, cuits","Chicken breast tenders, breaded, frozen, cooked",240,14.62,14.86,13.58
poitrine de poulet,170 g,5,1220,0.829,"Charcuterie, poitrine de poulet, cuite, extra maigre","Deli-meat, chicken breast, cooked, extra lean",96,17.14,1.78,1.79
poulet rôti,170 g,1,7930,0.525,"Charcuterie, poitrine de poulet, rôtie, lanières, assaisonnées","Deli-Meat, chicken breast, roasted, strips, seasoned",119.656842944,23.456075389,2.045545341,2.159402108
poulet rôti,170 g,2,5693,0.511,"Charcuterie, poitrine de poulet, rôtie au four, tranchée","Deli-meat, chicken breast, oven-roasted, sliced",115,19.79,2.61,2.25
poulet rôti,170 g,3,7635,0.511,"Aliments prêts à manger, sandwich, sous-marin fait avec pain blanc, poulet rôti au four, laitue et tomates","Fast foods, submarine sandwich on white bread, oven roasted chicken with lettuce and tomato",157,10.84,21.35,3.15
poulet rôti,170 g,4,7929,0.511,"Charcuterie, poitrine de poulet, rôtie, lanières, aromatisées (italienne)","Deli-Meat, chicken breast, roasted, strips, flavoured (italian)",118.0942,23.11,4.5,2.15
poulet rôti,170 g,5,5691,0.491,"Charcuterie, poitrine de poulet, rôtie au four, sans gras, tranchée","Deli-meat, chicken breast, oven-roasted, fat free, sliced",110,19.64,4.64,0.92
dinde,170 g,1,5462,1.133,"Bacon, dinde, cuit","Turkey, bacon, cooked",368,29.5,4.24,25.87
dinde,170 g,2,6581,1.05,"Pâté à la dinde, congelé","Turkey pot pie, frozen",176,6.5,17.7,8.8
dinde,170 g,3,7594,1.05,"Dinde, bacon, teneur réduite en sodium","Turkey, bacon, low sodium",253,13.33,4.8,20
dinde,170 g,4,694,1,"Dinde, toutes catégories, abats, crus","Turkey, all classes, giblets, raw",124,18.18,0.07,5.09
dinde,170 g,5,695,1,"Dinde, toutes catégories, abats, mijotés","Turkey, all classes, giblets, simmered",173,26.44,0,6.61
jambon,150 g,1,1862,1.133,"Jambon, maigre, en conserve","Ham, lean, canned",144,17.97,0,7.46
jambon,150 g,2,7190,1.133,"Jambon, flocons, conserve","Ham, flaked, canned",136,16,0.2,7.4
jambon,150 g,3,1942,1.05,"Jambon, extra maigre, en conserve","Ham, extra lean, canned",120,16.4,0.2,4.4
jambon,150 g,4,1865,1,"Jambon, régulier (13% de gras), en conserve","Ham, regular (13% fat), canned",226,20.53,0.42,15.2
jambon,150 g,5,5968,0.8,"Hambourgeois végétarien / soya, galette, non préparée","Meatless, soy burger patty, unprepared",177,15.7,14.27,6.3
porc,170 g,1,1832,1.133,"Porc, cervelle, crue","Pork, brains, raw",127,10.28,0,9.21
porc,170 g,2,1833,1.133,"Porc, cervelle, braisé","Pork, brains, braised",138,12.14,0,9.51
porc,170 g,3,1838,1.133,"Porc, pieds, crus","Pork, feet, raw",213,23.16,0,12.59
porc,170 g,4,1839,1.133,"Porc, coeur, cru","Pork, heart, raw",118,17.27,1.33,4.36
porc,170 g,5,1840,1.133,"Porc, coeur, braisé","Pork, heart, braised",148,23.6,0.4,5.05
bacon,3 tranches,1,5462,1.133,"Bacon, dinde, cuit","Turkey, bacon, cooked",368,29.5,4.24,25.87
bacon,3 tranches,2,3315,0.9,"Viande, simili, bacon","Meatless, bacon",309,11.69,5.31,29.52
bacon,3 tranches,3,5554,0.733,"Viande, simili, bacon en miettes","Meatless, bacon bits",476,32,28.6,25.9
bacon,3 tranches,4,1936,0.65,"Porc, salé, bacon, cru","Pork, cured, bacon, raw",393,13.66,0,37.13
bacon,3 tranches,5,5310,0.65,"Gras animal, gras de bacon","Animal fat, bacon grease",897,0,0,99.5
boeuf haché,170 g,1,2683,1.3,"Boeuf, haché, maigre, cru","Beef, ground, lean, raw",207,19.575,0,13.675
boeuf haché,170 g,2,2687,1.3,"Boeuf, haché, maigre, grillé","Beef, ground, lean, broiled",250,25.93,0,15.41
boeuf haché,170 g,3,2700,1.3,"Boeuf, haché, régulier, grillé","Beef, ground, regular, broiled",304,25.41,0,21.68
boeuf haché,170 g,4,2786,1.3,"Boeuf, haché, régulier, cru","Beef, ground, regular, raw",293,16.55,0,24.7
boeuf haché,170 g,5,2689,1.2,"Boeuf, haché, maigre, galette, sauté","Beef, ground, lean, patty, pan-fried",259,29.65,0,14.7
steak,170 g,1,2650,1.133,"Boeuf, cervelle, crue","Beef, brain, raw",143,10.86,1.05,10.3
steak,170 g,2,2651,1.133,"Boeuf, cervelle, sauté","Beef, brain, pan-fried",196,12.57,0,15.83
steak,170 g,3,2652,1.133,"Boeuf, cervelle, mijoté","Beef, brain, simmered",151,11.67,1.48,10.53
steak,170 g,4,2653,1.133,"Boeuf, coeur, cru","Beef, heart, raw",112,17.72,0.14,3.94
steak,170 g,5,2654,1.133,"Boeuf, coeur, mijoté","Beef, heart, simmered",165,28.48,0.15,4.73
saumon,150 g,1,6259,0.8,"Ronce élégante, crue","Salmonberry, raw",47,0.85,10.05,0.33
saumon,150 g,2,461,0.733,"Huile de poisson, saumon","Fish oil, salmon",902,0,0,100
saumon,150 g,3,3050,0.65,"Poisson, saumon, quinnat, fumé","Fish, salmon, chinook (spring), smoked",117,18.28,0,4.32
saumon,150 g,4,3217,0.65,"Poisson, saumon, kéta, cru","Fish, salmon, chum (keta), raw",120,23.1,0,3.7
saumon,150 g,5,3221,0.65,"Poisson, saumon, rose, cru","Fish, salmon, pink (humpback), raw",127,20.5,0,6.7
thon en conserve,1 conserve,1,1862,0.4,"Jambon, maigre, en conserve","Ham, lean, canned",144,17.97,0,7.46
thon en conserve,1 conserve,2,6204,0.4,"Goyave, nectar, en conserve","Guava, nectar, canned",57,0.09,14.87,0.06
thon en conserve,1 conserve,3,6205,0.4,"Mangue, nectar, en conserve","Mango, nectar, canned",51,0.11,13.12,0.06
thon en conserve,1 conserve,4,1942,0.333,"Jambon, extra maigre, en conserve","Ham, extra lean, canned",120,16.4,0.2,4.4
thon en conserve,1 conserve,5,2192,0.333,"Citrouille, conserve","Pumpkin, canned",34,1.1,8.09,0.28
thon,150 g,1,3086,1.3,"Thon, salade",Tuna salad,187,16.04,9.41,9.26
thon,150 g,2,6749,0.65,"Sandwich à la salade de thon, fait maison","Sandwich, tuna salad, homemade",229,12.508,20.207,10.814
thon,150 g,3,3079,0.6,"Poisson, thon rouge, frais, cru","Fish, tuna, bluefin, fresh, raw",144,23.33,0,4.9
thon,150 g,4,3085,0.6,"Poisson, thon à nageoires jaunes, frais, cru","Fish, tuna, yellowfin, fresh, raw",109,24.4,0,0.49
thon,150 g,5,3082,0.567,"Poisson, bonite à ventre rayé, frais, cru","Fish, tuna, skipjack (aku), fresh, raw",103,22,0,1.01
truite,150 g,1,7234,0.65,"Poisson, truite mouchetée, crue","Fish, trout, brook, raw",110,21.23,0,2.73
truite,150 g,2,3186,0.6,"Poisson, truite, arc-en-ciel, élevage, crue","Fish, trout, rainbow, farmed, raw",141,19.94,0,6.18
truite,150 g,3,3204,0.6,"Poisson, truite, espèces diverses, crues","Fish, trout, mixed species, raw",148,20.77,0,6.61
truite,150 g,4,3205,0.6,"Poisson, truite, arc-en-ciel, sauvage, crue","Fish, trout, rainbow, wild, raw",119,20.48,0,3.46
truite,150 g,5,6261,0.6,"Poisson, truite arc-en-ciel anadrome, viande, séchée","Fish, steelhead trout, meat, dried",382,77.27,0,8.06
morue,150 g,1,457,0.65,"Huile de poisson, foie de morue","Fish oil, cod liver",902,0,0,100
morue,150 g,2,3020,0.65,"Poisson, morue-lingue, crue","Fish, lingcod, raw",85,17.66,0,1.06
morue,150 g,3,3047,0.65,"Poisson, morue charbonnière, crue","Fish, sablefish (black cod), raw",195,13.41,0,15.3
morue,150 g,4,3048,0.65,"Poisson, morue charbonnière, fumée","Fish, sablefish (black cod), smoked",257,17.65,0,20.14
morue,150 g,5,3194,0.6,"Poisson, morue de l'Atlantique, crue","Fish, cod (scrod), Atlantic, raw",82,17.81,0,0.67
tilapia,170 g,1,5966,0.733,"Poisson, tilapia, cru","Fish, tilapia, raw",96,20.08,0,1.7
tilapia,170 g,2,5967,0.6,"Poisson, tilapia, au four ou grillé","Fish, tilapia, baked or broiled",129,26.15,0,2.65
crevettes,170 g,1,7657,0.733,"Grignotises, craquelins aux crevettes","Snacks, shrimp cracker",426,7.14,59.09,17.86
crevettes,170 g,2,3105,0.65,"Crustacés, crevette, imitation (surimi)","Crustaceans, shrimp, imitation (surimi)",101,12.39,9.13,1.47
crevettes,170 g,3,3211,0.6,"Crustacés, crevette, espèces diverses, crues","Crustaceans, shrimp, mixed species, raw",71,13.61,0.91,1.01
crevettes,170 g,4,3224,0.6,"Crustacés, crevette, espèces diverses, conserve","Crustaceans, shrimp, mixed species, canned",99,20.42,0,1.36
crevettes,170 g,5,3242,0.567,"Crustacés, crevette ou homard, pâté, conserve","Crustaceans, shrimp or lobster paste, canned",180,20.8,1.5,9.4
tofu ferme,150 g,1,4913,0.5,"Tofu, soyeux, léger, ferme","Tofu, silken, light, firm",37,6.3,1.1,0.8
tofu ferme,150 g,2,4911,0.4,"Tofu, soyeux, ferme, à longue durée de conservation","Tofu, silken, firm, shelf stable",62,6.9,2.4,2.7
tofu ferme,150 g,3,4914,0.4,"Tofu, soyeux, léger, extra ferme","Tofu, silken, light, extra firm",38,7,1,0.7
tofu ferme,150 g,4,4912,0.333,"Tofu, soyeux, extra ferme, à longue durée de conservation","Tofu, silken, extra firm, shelf stable",55,7.4,2,1.9
tofu ferme,150 g,5,5610,0.333,"Yogourt, tofu","Yogourt (yogurt), tofu",94,3.5,15.96,1.8
tofu,150 g,1,6577,1.3,"Tofu, frit","Tofu, fried",270,18.82,8.86,20.18
tofu,150 g,2,7772,1.133,"Tofu, soyeux, réfrigéré","Tofu, silken, refrigerated",62,6.9,2.4,2.7
tofu,150 g,3,3331,1.05,"Tofu, koyadofu, séché et surgelé","Tofu, koyadofu, dried-frozen",477,52.47,10.03,30.34
tofu,150 g,4,4913,1.05,"Tofu, soyeux, léger, ferme","Tofu, silken, light, firm",37,6.3,1.1,0.8
tofu,150 g,5,4910,1,"Tofu, soyeux, mou, à longue durée de conservation","Tofu, silken, soft, shelf stable",55,4.8,2.9,2.7
tempeh,150 g,1,3321,0.6,"Soya, produits fermenté, tempeh (tempe)","Soybean, fermented products, tempeh (tempe)",192,20.29,7.64,10.8
tempeh,150 g,2,4986,0.567,"Soya, produits fermentés, tempeh (tempe), cuit","Soybean, fermented products, Tempeh (tempe), cooked",195,19.91,7.62,11.38
lentilles,1 tasse cuite,1,6183,1.3,"Lentilles, farine","Lentils, flour",367,30.45,61.95,1.04
lentilles,1 tasse cuite,2,2113,1.133,"Lentilles, germées, crues","Lentils, sprouted, raw",106,8.96,22.14,0.55
lentilles,1 tasse cuite,3,3392,1.05,"Lentilles, grains mûrs, secs","Lentils, mature seeds, dry",352,24.63,63.35,1.06
lentilles,1 tasse cuite,4,3393,1.05,"Lentilles, grains mûrs, bouillis","Lentils, mature seeds, boiled",116,9.02,20.13,0.38
lentilles,1 tasse cuite,5,4869,1,"Lentilles, roses, grains mûrs, secs","Lentils, pink, mature seeds, dry",358,23.91,63.1,2.17
pois chiches,1 tasse,1,4886,1.3,"Pois chiches, farine (besan)",Chickpea flour (besan),387,22.39,57.82,6.69
pois chiches,1 tasse,2,7060,1.2,"Pois chiches (garbanzo), conserve, égouttés","Chickpeas (garbanzo beans, bengal gram), canned, drained solids",139,7.05,22.53,2.77
pois chiches,1 tasse,3,3389,1.133,"Pois chiches (garbanzo), grains mûrs, secs","Chickpeas (garbanzo beans, bengal gram), mature seeds, dry",378,20.47,62.95,6.04
