legacy_alias,current_portion,candidate_rank,cnf_food_id,score,cnf_fr,cnf_en,kcal_100g,protein_100g,carbs_100g,fat_100g
papaye,1 tasse,5,1690,0.471,"Fruits tropicaux, salade (ananas, papaye rouge et jaune), conserve, dans du sirop épais, solides et liquide","Fruit salad, tropical (pineapple, red and yellow papaya), canned, heavy syrup pack, solids and liquid",86,0.41,22.36,0.1
melon miel,1 tasse,1,1605,1.3,"Melon, miel (honeydew), cru","Melon, honeydew, raw",36,0.54,9.09,0.14
melon miel,1 tasse,2,1606,0.686,"Melon, en boules, congelé (cantaloup et melon miel)","Melon balls, frozen (cantaloupe and honeydew)",33,0.84,7.94,0.25
melon miel,1 tasse,3,7017,0.333,Melon à cornes,"Melon, horned",44,1.78,7.56,1.26
melon miel,1 tasse,4,1604,0.25,"Melon, casaba, cru","Melon, casaba, raw",28,1.11,6.58,0.1
melon miel,1 tasse,5,1721,0.25,"Melon, cantaloup, cru","Melon, cantaloupe, raw",34,0.84,8.16,0.19
cantaloup,1 tasse,1,1721,0.733,"Melon, cantaloup, cru","Melon, cantaloupe, raw",34,0.84,8.16,0.19
cantaloup,1 tasse,2,1606,0.567,"Melon, en boules, congelé (cantaloup et melon miel)","Melon balls, frozen (cantaloupe and honeydew)",33,0.84,7.94,0.25
melon d eau,1 tasse,1,1691,1.4,"Melon d'eau (pasteque), cru","Watermelon, raw",30,0.61,7.55,0.15
melon d eau,1 tasse,2,2277,0.9,"Waxgourd (melon d'eau chinois), cru","Waxgourd (Chinese preserving melon), raw",13,0.4,3,0.2
melon d eau,1 tasse,3,2599,0.9,"Graines, melon d'eau (pastèque), graines, déshydratées","Seeds, watermelon seed kernels, dried",557,28.33,15.31,47.37
melon d eau,1 tasse,4,2278,0.829,"Waxgourd (melon d'eau chinois), bouilli, égoutté","Waxgourd (Chinese preserving melon), boiled, drained",13,0.4,3.04,0.2
melon d eau,1 tasse,5,6590,0.733,"Waxgourd (melon d'eau chinois), bouilli, égoutté, sel ajouté","Waxgourd (Chinese preserving melon), boiled, drained, with salt",11,0.4,2.45,0.2
prune,1 fruit,1,1740,1.3,"Prune, crue","Plum, raw",46,0.7,11.42,0.28
prune,1 fruit,2,4879,1.3,"Pruneau, purée",Prune puree,257,2.1,65.1,0.2
prune,1 fruit,3,1673,1.133,"Pruneau, jus, conserve","Prune juice, canned",71,0.61,17.45,0.03
prune,1 fruit,4,1742,1.133,"Pruneau, séché, non cuit","Prune, dried, uncooked",241,2.18,63.88,0.38
prune,1 fruit,5,1582,1.05,"Prune de java, crue","Java-plum, raw",60,0.72,15.56,0.23
abricot,1 fruit,1,1498,1.3,"Abricot, cru","Apricot, raw",48,1.4,11.12,0.39
abricot,1 fruit,2,1510,1.133,"Abricot, congélé, sucré","Apricot, frozen, sweetened",98,0.7,25.1,0.1
abricot,1 fruit,3,1694,1.133,"Abricot, nectar, conserve","Apricot nectar, canned",56,0.37,14.39,0.09
abricot,1 fruit,4,1507,1.05,"Abricot, séché, sulfuré, non cuit","Apricot, dried, sulphured, uncooked",241,3.39,62.64,0.51
abricot,1 fruit,5,1509,0.967,"Abricot, séché, sulfuré, cuit, sucre ajouté","Apricot, dried, sulphured, cooked, added sugar",113,1.17,29.26,0.15
figue fraîche,1 fruit,1,1711,0.333,"Figue, crue","Fig, raw",74,0.75,19.18,0.3
